id,created_date,status,local_date,local_time,yes_rsvp_count,day_event,days_creation,ym_event
255820271,2018-10-25,past,2018-11-09,19:00,17,Fri,15,2018-Nov
259318768,2019-02-27,past,2019-03-09,13:00,9,Sat,10,2019-Mar
267768882,2020-01-09,past,2020-01-14,19:00,9,Tue,5,2020-Jan
269677865,2020-03-27,past,2020-03-31,19:00,28,Tue,4,2020-Mar
269801211,2020-04-02,past,2020-04-04,15:00,12,Sat,2,2020-Apr
269960308,2020-04-10,past,2020-04-11,15:00,11,Sat,1,2020-Apr
270099253,2020-04-17,past,2020-04-18,15:00,8,Sat,1,2020-Apr
270212766,2020-04-23,past,2020-04-25,15:00,8,Sat,2,2020-Apr
270291866,2020-04-27,upcoming,2020-04-30,19:00,11,Thu,3,2020-Apr
